질환명,영문명,동의어,증상 키워드,정의,증상,원인,진단,치료,URL
자극성 장 증후군,Irritable bowel syndrome,"['과민성대장', '과민성대장증후군', '과민성장증후군', '과민성창자', '과민성창자증후군', '자극성 창자증후군', '자극성대장증후군', '자극성장증후군']","복부 통증, 설사, 체중감소, 점액변, 변비","자극성 장 증후군은 특별한 기질적 원인이 확인되지 않는 상태에서 만성적으로 지속되는 복통 및 배변 장애를 말합니다. 대장 내시경, X-ray 검사 등 여러 가지 검사로 확인되는 질환은 없지만, 식후나 스트레스 상황에서 복통, 복부 팽만감, 설사, 변비 등의 배변 장애 증상이 유발되는 만성적인 질환입니다.","대장은 정상적으로 하루 1회 정도 배변을 유도하도록 움직입니다. 그러나 대장이 과민해진 경우 대장이 지나치게 움직여 설사가 유발되거나, 이와는 반대로 움직임을 급격히 멈춰 변비를 일으킬 수 있습니다. 즉, 자극성 장 증후군 환자는 설사 또는 변비, 혹은 두 가지 모두가 규칙적으로 반복되며 만성적인 복통에 시달립니다. 심한 복통도 배변 후에는 대부분 호전됩니다. ","아직까지 자극성 장 증후군의 원인은 명확히 밝혀지지 않았습니다. 유전적 가족적 요인, 불안 및 스트레스와 같은 정신적 요인, 과음, 자극적인 음식, 불규칙한 식사, 편식 등이 원인으로 여겨집니다. 내장이 과민하여 환자의 대장 내에 가스를 주입하거나, 풍선을 넣어 확장시키면 정상인에서는 반응이 나타나지 않을 정도의 적은 용량에도 심한 통증을 일으킵니다.","자극성 장 증후군은 구조적 이상으로 설명할 수 없으므로 특정 검사 방법으로 진단하기가 매우 어렵습니다. 대변 검사, 대장 내시경, 혈액 검사 등의 여러 가지 기본적인 검사를 통해서 원인 질환이 없다는 것을 확인한 뒤에도, 불쾌한 소화기 증상(식사나 가벼운 스트레스 후 복통, 복부 팽만감 등)이 만성적으로 나타나거나, 설사나 변비와 같은 배변 장애 및 배변 후 잔변감으로 등의 증상을 보인다면 자극성 장 증후군을 의심해 볼 수 있습니다. 특히 체중 감소, 혈변, 빈혈 등의 경고 증상이 동반되거나, 이 증상이 50세 이상에서 처음 생긴 경우에는 다른 원인을 확인하기 위해 대장 내시경 검사, 복부 CT 검사, 소장 검사 등을 시행해 보아야 합니다.","자극성 장 증후군의 원인이 되는 심리적 불안과 갈등을 제거하는 것이 가장 중요합니다. 단순히 음식이나 약물만으로 치료하기는 힘듭니다. 본인의 노력이 필요합니다. 무엇보다 환자가 본인의 병을 잘 이해하고 장에 자극을 줄 수 있는 음식과 과식을 피하고, 규칙적인 식사와 편안한 마음가짐을 갖도록 해야 합니다. 스트레스를 해소하기 위해 적당한 운동과 하루 중 편안한 시간에 명상과 휴식을 취하는 것도 도움이 됩니다. 미지근한 물을 자주 드시는 것이 좋습니다. 식이섬유가 풍부한 과일을 먹으면 변이 정체되지 않아 좋으나, 오렌지같이 장에 자극을 주는 과일은 되도록 피하는 게 좋습니다. 밀가루나 인스턴트, 기름진 음식 등의 식이를 피하는 것이 도움이 됩니다. 장의 과민성을 떨어뜨리고, 안정된 상태로 만들기 위해 약물 요법을 시행합니다.",https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=32064
당뇨병,Diabetes mellitus,['당뇨'],"고혈당, 소양감, 체중감소, 피로감, 시야장애, 다뇨, 저림, 다음, 다식","당뇨병은 소변으로 포도당이 배출된다고 하여 이름 붙여진 병입니다. 정상인의 경우 소변으로 당이 넘쳐나지 않을 정도로 혈당이 조절됩니다. 여기에는 췌장에서 분비되는 '인슐린'이라는 호르몬이 중요한 작용을 합니다. 이러한 인슐린이 모자라거나 제대로 일을 못 하는 상태가 되면 혈당이 상승하며, 이로 인해 혈당이 지속적으로 높은 상태가 됩니다. 이러한 상태를 당뇨병이라고 합니다. 우리나라의 당뇨병 유병률은 경제가 발전하고 생활 양식이 서구화됨에 따라 증가하는 추세입니다.","당뇨병에 걸리면 소변으로 포도당이 빠져나가는데, 이때 수분을 같이 끌고 나가기 때문에 소변량이 늘어납니다. 그 결과 몸 안에 수분이 부족하여 심한 갈증을 느끼게 됩니다. 또한 영양분이 몸에서 이용되지 않고 빠져나가므로 피로감을 잘 느낍니다. 또한 잘 먹는데도 불구하고 체중이 감소합니다. ","당뇨병의 발생에는 유전과 환경이 중요한 역할을 합니다. 즉, 당뇨병은 이것에 걸리기 쉬운 유전적 체질을 부모로부터 물려받은 사람이 당뇨병을 유발하기 쉬운 환경에 노출될 때 발생할 수 있습니다. 하지만 현재까지 당뇨병을 일으키는 유전자의 이상을 찾을 수 있는 경우는 전체 당뇨병의 1% 미만에 불과합니다. 대부분의 당뇨병에서는 원인 유전자가 명확히 밝혀지지 않았습니다.","당뇨병은 혈당을 측정하여 진단합니다. 이때 혈당 검사란 손가락 끝에서 채혈을 하는 전혈 포도당 검사가 아니라, 정맥혈을 채취하여 피떡을 가라앉히고 상층의 맑은 혈장 성분만을 분리하여 포도당 농도를 측정하는 검사입니다. 과거에 많이 시행하던 요당 검사는 당뇨병이 있어도 음성으로 나올 수 있고, 당뇨병이 아니더라도 양성으로 나올 수 있으므로 진단 검사로는 부적합합니다.","당뇨병의 치료 방법으로는 식사 요법, 운동 요법, 약물 치료가 있습니다. 가벼운 당뇨병은 식사 요법과 운동 요법만으로도 효과적으로 치료할 수 있습니다. 식사 요법과 운동 요법만으로 만족할 만한 혈당 조절이 이루어지지 않을 때 약물 요법을 추가합니다. 하지만 약물 요법을 받는 중에도 반드시 식사 요법과 운동 요법을 병행해야 합니다. 약물 요법에는 경구 혈당강하제와 인슐린 주사가 있는데, 당뇨병의 종류, 환자의 상태, 합병증의 유무에 따라 치료 약물을 선택합니다.",https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31596
울혈성 심부전,Congestive heart failure,"['울혈성심부전증', '울혈심부전', '울혈심부전증']","빈맥, 심부전, 호흡곤란, 울혈성 심부전, 소변량 감소, 야뇨증, 두통, 불면증, 청색증",울혈성 심부전은 여러 원인으로 인해 심장이 신체 조직이나 기관에서 필요한 혈액(특히 산소)을 공급할 수 없는 병태생리학적 상태를 말합니다. 그 자체가 질병인 것은 아닙니다.,"울혈성 심부전의 일반적인 증상으로는 전반적으로 몸이 약해짐, 피곤함, 운동을 조금만 해도 힘듦, 중추신경 증상(착란, 불면, 두통), 빈맥, 야뇨증, 청색증 등이 있습니다. 또한 전신적 울혈, 폐의 울혈, 말초의 저관류, 교감 신경의 활성 증가로 인한 증상이 나타납니다. 대부분은 초기에 좌심실 부전이 먼저 일어나고, 이것이 우심실의 부담을 증가시켜 결국 우심실 부전이 일어납니다.",나이가 들면 심장의 기능이 감소하여 울혈성 심부전이 발생할 위험성이 커집니다. 65세 이상 노인 인구의 3~5% 정도에서 울혈성 심부전이 나타납니다. 이 질환은 성인 입원 환자의 5% 정도를 차지합니다.,"울혈성 심부전은 임상 증상, 신체 검사, 간단한 검사(심전도, 흉부 X-ray 촬영)를 종합하여 진단할 수 있습니다. 심부전이 발생하면 심박출량의 감소를 보충하기 위하여 맥박수가 빨라집니다(분당 100회 이상). 심장 부위를 청진해 보면 말이 달릴 때 나는 소리와 같은 분마음(gallop sound)이 들립니다. 목의 경정맥압이 올라가 있습니다. 흉부 타진에서 심장이 커져 있습니다. 다리에서 부종을 관찰할 수 있습니다.",1. 약물 요법,https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=30314
천식,Asthma,"['소아천식', '운동유발성천식', '직업성천식']","천명음, 가래, 가슴 답답, 기침, 호흡곤란","천식은 알레르기 염증에 의해 기관지가 반복적으로 좁아지는 만성 호흡기 질환입니다. 기관지가 좁아져서 숨이 차고, 기침이 나며, 가슴에서 색색거리는 소리가 들리고, 가슴이 답답해지는 증상이 반복적으로 되풀이됩니다. 우리나라 성인 인구의 5% 정도가 천식을 앓는 것으로 알려져 있습니다. 최근 전 세계적으로 천식 환자 수가 증가하고 있습니다.",기관지 천식은 유전적 요인과 환경적인 요인이 함께 상호작용하여 나타납니다.,1. 대기 알레르겐,"1. 문진과 진찰
기침, 천명, 호흡 곤란 등의 증상이 있습니다. 특히 야간이나 새벽에 악화됩니다. 증상의 악화와 호전이 반복됩니다. 가족 중 천식 환자가 있는 경우가 많습니다.","1. 환경 관리
원인이 되는 대기 알레르겐과 비특이적 자극원을 차단합니다.",https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31811
대장염,Colitis,"['급성 대장염', '대장질환', '만성 대장염']","설사, 점액변, 배변습관의 변화","약 1.5m 길이의 대장은 크게 결장과 직장으로 구분됩니다. 결장은 소장과 연결된 부위로부터 맹장, 상행결장, 횡행결장, 하행결장, 에스상결장으로 구분됩니다. 또한 맹장에서 나오는 가늘고 긴 튜브 모양의 충수 돌기가 있으며, 길이는 약 8~10cm입니다. 이 충수 돌기에 생기는 염증을 일반적으로 맹장염이라고 부릅니다.","대장염 중에서도 각각의 질환에 따라 증상이 다릅니다. 다만 복통, 설사 등이 공통적으로 나타날 수 있습니다. 또한 발열, 혈변, 구역, 구토가 동반될 수 있습니다.",대장염은 방대한 범위의 질환을 포함하는 개념입니다. 따라서 대장염의 원인은 구체적인 질환에 따라서 다릅니다.,"대장염을 진단하기 위해 혈액 검사, 대변 검사, 복부 컴퓨터 촬영, 대장 내시경 검사 등을 시행할 수 있습니다.","최근 서구화된 식습관으로 인해 대장암을 비롯한 대장 건강 문제가 증가하고 있습니다. 연구에 의하면, 대장 질환을 유발하는 요인으로는 소고기나 돼지고기 같은 붉은 육류, 소시지와 햄 같은 가공육, 술, 비만 등이 있습니다. 반면에 대장 질환의 발생을 감소시키는 요인으로는  적절한 육체 활동, 섬유소 섭취, 마늘, 우유, 칼슘 섭취 등이 있습니다. 대장 질환을 예방하기 위해서는 규칙적으로 식사하고 반드시 아침 식사를 해야 합니다. 고지방 음식을 피하며, 섬유소가 많은 음식을 먹어야 합니다. 변의가 있으면 바로 화장실에 가야 합니다. 항문 출혈이 나타나거나 배변 습관에 변화가 생긴다면 바로 검사를 받는 것이 좋습니다. 스트레스는 바로바로 푸는 것이 좋습니다.",https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=32099
상기도 감염,Upper respiratory infections,"['common cold', '감기']","열, 기침, 피로감, 목의 통증, 두통, 코막힘, 재채기, 콧물","상기도 감염은 코, 인두, 후두, 기관 등 상기도의 감염성 염증 질환을 의미합니다. 급성 비염, 급성 부비동염, 급성 인후염, 급성 중이염, 급성 기관지염 등을 포함하는 용어입니다. 흔히 감기라고 합니다.","콧물과 코막힘이 계속되면 구강으로 호흡을 하게 되어 목이 마르고 붓습니다. 편도 쪽에 염증이 생기기도 하며, 편도염이 생기면 고열, 연하(삼킴) 곤란, 호흡 곤란 등의 증상이 나타날 수 있습니다. 편도염이 자주 재발하는 경우 편도선 절제술을 시행하기도 합니다. 수술은 개개인에 따라 기대되는 효과에 따라 시행하므로 전문의와 상담 후에 결정해야 합니다.","상기도 감염(감기)은 일반적으로 바이러스 때문에 발생하는 경우가 많습니다. 세균 감염이 원인인 경우는 약 5~10% 미만으로 매우 적습니다. 감기는 흔히 아동기에 발생하며, 4~7세 전후로 절정에 달합니다. 단체 생활을 하는 경우 감염 환자에게 쉽게 전파되는 경향이 있으므로, 유치원에 다녀와서 손을 깨끗이 씻고 몸을 청결히 유지하는 것이 도움이 됩니다.",단순한 상기도 감염은 보통 임상적으로 진단하고 대증 요법으로 치료합니다. 그러나 고위험군 환자의 경우 혈액 검사 및 인두 배양 검사와 같은 추가적인 검사가 도움이 될 수 있습니다.,"상기도 감염은 보통 증상에 따른 대증 요법으로 약물 치료를 시행합니다. 일부 세균에 의한 인후염, 바이러스 감염 이후 부비동염, 중이염, 기관지염, 폐렴 등 이차적인 세균 감염이 있을 때만 항생제를 사용하는 것이 원칙입니다. 항생제를 사용하면 감기가 빨리 치료된다고 보기는 힘듭니다. 일부 세균 감염이나 합병증이 의심되는 경우에는 항생제가 도움이 됩니다.",https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31816
외상성 경막하 출혈,Traumatic subdural hemorrhage,"['subdural hemorrhage', '경막하 출혈', '경막하혈종', '급성 경막하 출혈']","호흡곤란, 구토, 혼수, 두통, 반신마비",외상성 경막하 출혈이란 교통사고와 같은 외부 충격으로 인해 뇌를 둘러싸고 있는 경막 안쪽 뇌혈관이 터지면서 뇌와 뇌의 바깥쪽 경막 사이에 피가 고이는 질환을 의미합니다. 경막하 혈종은 뇌를 압박할 수 있기 때문에 매우 긴급한 상황에 해당합니다. 조치가 늦어지면 사망에 이를 수 있습니다.,"외상성 경막하 출혈의 가장 흔한 증상은 두통, 한쪽의 위약감, 경련, 시야 장애, 언어 장애 등입니다. 출혈 초기에는 인지 기능이 저하되고, 의사소통이 잘 되지 않으며, 자꾸 잠을 자려는 모습을 보입니다. 출혈이 계속되어 뇌압이 증가하면 의식 장애가 악화되면서 반신 마비, 동공  확대, 호흡 곤란, 혼수상태 등의 증상이 나타납니다. 반면 출혈이 가볍고 뇌압 상승 등의 이상 없는 경우 의식 장애 없이 두통만 호소하기도 합니다.","외상성 경막하 출혈은 대부분 머리에 대한 직접적인 충격으로 뇌와 경막 사이의 혈관이 파열되어 발생합니다. 외부의 충격 중 가장 흔한 원인은 젊은 사람의 경우 교통사고, 무리한 운동, 폭행 등이 있고, 노인의 경우 낙상이 있으며, 영유아의 경우 학대, 폭행이 있습니다. 일부 환자(항응고제, 항혈소판제제를 복용 중인 환자)는 강한 충격이 아닌 가벼운 생활 충격(문에 머리를 부딪힘)에 의해서 발생하기도 합니다.","외상성 경막하 출혈을 진단하기 위해 혈압과 맥박을 측정하고, 시야와 안구의 빛 반응을 살피며, 반사 기능과 균형 감각, 언어 기능과 기억력 등을 확인합니다. 이를 통해 경막하 출혈이 의심되면 컴퓨터 단층촬영(CT)을 통해 뇌와 두개골의 출혈량과 해부학적 위치를 확인합니다.","검사 결과상 출혈량이 적고 환자의 상태가 양호한 경우 수술적 치료 없이 경과를 관찰합니다. 이 경우 환자의 의식 상태를 관찰하고, 뇌 전산화 단층촬영을 시행하여 지속적으로 집중 관찰합니다. 그러나 환자의 의식이 저하되고, 전산화 단층촬영에서 다량의 출혈이 확인되면 뇌의 압박을 줄이는 수술적 치료를 시행해야 합니다.",https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31892
인플루엔자,Influenza,['독감'],"오한, 열, 설사, 근육통, 구토, 목의 통증, 두통","인플루엔자는 감기 증세를 일으키는 바이러스 중 인플루엔자(influenza) 바이러스에 의해 발생하는 질환입니다. 독감이라고도 합니다. 독감이 일반 감기와 다른 점은 콧물, 기침, 인후통 등의 국소적인 증상보다는 발열, 근육통, 두통 등의 전신적인 증상이 훨씬 더 뚜렷하게 나타난다는 것입니다. 주로 날씨가 춥고 건조한 10월부터 5월까지 독감의 발생률이 높습니다.","독감의 증세는 일반적인 감기보다 심합니다. 피로감이 동반된 고열이 생기고, 심한 두통과 오한, 근육통을 호소합니다. 전신 증상과 함께 인후통, 기침, 콧물 등의 증상이 동반됩니다. 건강한 성인이 아주 독한 감기에 걸려서 2~3일 정도 일하기가 어려울 정도로 심한 증상이 나타나면 독감에 걸렸을 가능성이 큽니다. 어린아이의 경우에는 침을 많이 흘리고, 잘 먹지 못하며, 심하게 보채고, 잠을 잘 이루지 못합니다. 오심, 구토, 설사, 복통 등 위장관 증상이 빈번하게 나타나며, 때로는 열성 경련이 나타나기도 합니다.","바이러스 내에서 전자 돌연변이가 지속적으로 생기게 되면, 면역력이 없는 항원을 가진 바이러스가 출현하게 되고, 이렇게 면역력이 없는 바이러스가 사람들 사이에서 급속하게 퍼져 나가면서 대유행을 일으킵니다.","독감은 지역사회에 독감이 얼마나 유행하는지에 따라서 독감 유사 증상(influenza-like illness, 발열+기침 또는 인후통)이 있으면 임상적으로 진단할 수 있습니다. 경우에 따라서는 인후 도말 검체에서 신속 항원 검사, RT-PCR 검사, 바이러스 배양 검사를 통해 확진합니다.","독감을 치유하기 위해서는 충분한 휴식과 수면 등 안정을 취하는 것이 중요합니다. 합병증이 생길 위험이 큰 고위험군 환자는 가능하면 빨리 항바이러스제인 오셀타미비르(oseltamivir), 자나미비르(zanamivir) 등을 투여하는 것이 도움이 됩니다. 고위험군이 아니더라도 합병증이 생겼거나 심한 증상이 있는 경우에는 조기에 항바이러스를 투여합니다. 18세 이하 소아는 아스피린과 라이 증후군과의 관련성 때문에 아스피린 투여를 금지합니다.",https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31620
근육 긴장성 두통,Tension-type headache,['긴장성두통'],"압통, 두통","근육 긴장성 두통은 대부분의 사람들이 경험할 정도로 가장 흔한 두통입니다. 일반적으로 스트레스, 피로, 수면 부족 등의 요인에 의해 발생하는 가벼운 두통이 바로 근육 긴장성 두통입니다. 두통이 머리에 띠를 두른 것처럼 양측성으로 나타납니다. 오후에 더 심해지는 경향이 있습니다. 쉽게 긴장하거나 경쟁적인 성격에서 흔히 나타납니다.","근육 긴장성 두통 환자가 호소하는 통증은 일반적으로 박동성이 아닌 압박감, 조이는 느낌, 머리나 어깨를 짓누르는 느낌 등입니다. 대부분 머리 양측에서 모두 나타나며, 머리에 띠를 두른 듯한 둔하고 지속적인 두통이 느껴집니다. 몇 시간에서 며칠 동안 이어지기도 하며, 규칙적으로 나타나는 경우는 드뭅니다. 두통의 빈도는 다양하여 매일 나타나기도 하고 가끔 나타나기도 합니다. 오후에 악화되는 경향이 있습니다. 진통제에 의해 잘 완화되는 편입니다.","지속적인 근 수축의 결과로 두통이 발생합니다. 자신도 모르게 이를 깨물거나, 힘을 주거나, 이상한 자세를 취하는 것이 원인이 될 수 있습니다.",삽화성 긴장성 두통 진단 기준(국제두통학회),근육 긴장성 두통은 진통제에 잘 반응합니다. 저빈도 삽화성(episodic) 긴장성 두통 환자의 경우 예방적 치료를 시행할 필요가 없습니다.,https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31881
고산병,Mountain sickness,"['altitude sickness', '산악병']","탈수, 식욕부진, 구토, 의식 변화, 두통, 수면장애, 어지러움, 말초부종","고산병은 산의 고도가 높아짐에 따라 저산소증이 생길 때 이를 보상하기 위한 신체의 변화를 의미합니다. 고산병은 보통 2,400m 이상의 높이에서 나타납니다. 산을 오를 때 힘들어서 생기는 숨쉬기 힘든 현상과는 다릅니다.","산의 오르막(경사) 정도나 산의 높이, 고산지대에서의 신체활동 정도, 개인의 감수성에 따라 증상이 다르게 나타날 수 있습니다.",높은 곳은 낮은 곳보다 산소가 부족하여 호흡 시 산소의 흡입이 부족해집니다. 이를 보상하기 위해 호흡수가 늘어나면서 혈액의 점성이 떨어지고 혈액이 신체 곳곳에 산소를 전달하지 못하여 여러 가지 신체 변화가 일어납니다.,"안정을 취하고 있어도 맥박이 110회/분 이상 뛰고 호흡은 20회/분 이상 빠르게 쉬며, 이런 증상이 없는 사람과 비교하여 일직선으로 잘 걸을 수 없고 비틀거리면 고산병을 의심해야 합니다. 증상은 더 이상 올라가지 않으면 없어지지만 개인에 따라 다릅니다.","① 산을 내려오는 게 가장 좋습니다.
② 산소를 사용할 수 있는 경우 산소를 분당 2~3L로 흡입합니다.
③ 충분한 휴식을 취합니다.
④ 산을 내려와도 증상이 없어지지 않으면 병원에서 정확한 진찰을 받아야 합니다.",https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=32327
